,Domain,Type,Sponsoring Organization,date
597,.hot,generic,AmazonRegistryServicesInc,2025-01-28
598,.hoteles,generic,Notassigned,2025-01-28
599,.hotels,generic,BookingcomBV,2025-01-28
600,.hotmail,generic,MicrosoftCorporation,2025-01-28
601,.house,generic,BinkyMoonLLC,2025-01-28
602,.how,generic,CharlestonRoadRegistryInc,2025-01-28
604,.hsbc,generic,HSBCGlobalServicesUKLimited,2025-01-28
606,.htc,generic,Notassigned,2025-01-28
608,.hughes,generic,HughesSatelliteSystemsCorporation,2025-01-28
609,.hyatt,generic,HyattGTLDLLC,2025-01-28
610,.hyundai,generic,HyundaiMotorCompany,2025-01-28
611,.ibm,generic,InternationalBusinessMachinesCorporation,2025-01-28
612,.icbc,generic,IndustrialandCommercialBankofChinaLimited,2025-01-28
613,.ice,generic,IntercontinentalExchangeInc,2025-01-28
614,.icu,generic,ShortdotSA,2025-01-28
617,.ieee,generic,IEEEGlobalLLC,2025-01-28
618,.ifm,generic,ifmelectronicgmbh,2025-01-28
619,.iinet,generic,Notassigned,2025-01-28
620,.ikano,generic,IkanoSA,2025-01-28
623,.imamat,generic,FondationAgaKhanAgaKhanFoundation,2025-01-28
624,.imdb,generic,AmazonRegistryServicesInc,2025-01-28
625,.immo,generic,BinkyMoonLLC,2025-01-28
626,.immobilien,generic,DogBeachLLC,2025-01-28
628,.inc,generic,IntercapRegistryInc,2025-01-28
629,.industries,generic,BinkyMoonLLC,2025-01-28
630,.infiniti,generic,NISSANMOTORCOLTD,2025-01-28
631,.info,generic,IdentityDigitalLimited,2025-01-28
632,.ing,generic,CharlestonRoadRegistryInc,2025-01-28
633,.ink,generic,RegistryServicesLLC,2025-01-28
634,.institute,generic,BinkyMoonLLC,2025-01-28
635,.insurance,generic,fTLDRegistryServicesLLC,2025-01-28
636,.insure,generic,BinkyMoonLLC,2025-01-28
638,.intel,generic,Notassigned,2025-01-28
639,.international,generic,BinkyMoonLLC,2025-01-28
640,.intuit,generic,IntuitAdministrativeServicesInc,2025-01-28
641,.investments,generic,BinkyMoonLLC,2025-01-28
643,.ipiranga,generic,IpirangaProdutosdePetroleoSA,2025-01-28
646,.irish,generic,BinkyMoonLLC,2025-01-28
648,.iselect,generic,Notassigned,2025-01-28
649,.ismaili,generic,FondationAgaKhanAgaKhanFoundation,2025-01-28
650,.ist,generic,IstanbulMetropolitanMunicipality,2025-01-28
651,.istanbul,generic,IstanbulMetropolitanMunicipality,2025-01-28
653,.itau,generic,ItauUnibancoHoldingSA,2025-01-28
654,.itv,generic,ITVServicesLimited,2025-01-28
655,.iveco,generic,Notassigned,2025-01-28
656,.iwc,generic,Notassigned,2025-01-28
657,.jaguar,generic,JaguarLandRoverLtd,2025-01-28
658,.java,generic,OracleCorporation,2025-01-28
659,.jcb,generic,JCBCoLtd,2025-01-28
660,.jcp,generic,Notassigned,2025-01-28
662,.jeep,generic,FCAUSLLC,2025-01-28
663,.jetzt,generic,BinkyMoonLLC,2025-01-28
664,.jewelry,generic,BinkyMoonLLC,2025-01-28
665,.jio,generic,RelianceIndustriesLimited,2025-01-28
666,.jlc,generic,Notassigned,2025-01-28
667,.jll,generic,JonesLangLaSalleIncorporated,2025-01-28
669,.jmp,generic,MatrixIPLLC,2025-01-28
670,.jnj,generic,JohnsonJohnsonServicesInc,2025-01-28
673,.joburg,generic,ZACentralRegistryNPCtradingasZACentralRegistry,2025-01-28
674,.jot,generic,AmazonRegistryServicesInc,2025-01-28
675,.joy,generic,AmazonRegistryServicesInc,2025-01-28
677,.jpmorgan,generic,JPMorganChaseBankNationalAssociation,2025-01-28
678,.jprs,generic,JapanRegistryServicesCoLtd,2025-01-28
679,.juegos,generic,DogBeachLLC,2025-01-28
680,.juniper,generic,JUNIPERNETWORKSINC,2025-01-28
681,.kaufen,generic,DogBeachLLC,2025-01-28
682,.kddi,generic,KDDICORPORATION,2025-01-28
684,.kerryhotels,generic,KerryTradingCoLimited,2025-01-28
685,.kerrylogistics,generic,KerryTradingCoLimited,2025-01-28
686,.kerryproperties,generic,KerryTradingCoLimited,2025-01-28
687,.kfh,generic,KuwaitFinanceHouse,2025-01-28
691,.kia,generic,KIAMOTORSCORPORATION,2025-01-28
692,.kids,generic,DotKidsFoundationLimited,2025-01-28
693,.kim,generic,IdentityDigitalLimited,2025-01-28
694,.kinder,generic,Notassigned,2025-01-28
695,.kindle,generic,AmazonRegistryServicesInc,2025-01-28
696,.kitchen,generic,BinkyMoonLLC,2025-01-28
697,.kiwi,generic,DOTKIWILIMITED,2025-01-28
700,.koeln,generic,dotKoelnGmbH,2025-01-28
701,.komatsu,generic,KomatsuLtd,2025-01-28
702,.kosher,generic,KosherMarketingAssetsLLC,2025-01-28
704,.kpmg,generic,KPMGInternationalCooperativeKPMGInternationalGenossenschaft,2025-01-28
705,.kpn,generic,KoninklijkeKPNNV,2025-01-28
707,.krd,generic,KRGDepartmentofInformationTechnology,2025-01-28
708,.kred,generic,KredTLDPtyLtd,2025-01-28
709,.kuokgroup,generic,KerryTradingCoLimited,2025-01-28
712,.kyoto,generic,AcademicInstitutionKyotoJyohoGakuen,2025-01-28
715,.lacaixa,generic,FundaciónBancariaCaixadEstalvisiPensionsdeBarcelonalaCaixa,2025-01-28
716,.ladbrokes,generic,Notassigned,2025-01-28
717,.lamborghini,generic,AutomobiliLamborghiniSpA,2025-01-28
718,.lamer,generic,TheEstéeLauderCompaniesInc,2025-01-28
719,.lancaster,generic,LANCASTER,2025-01-28
720,.lancia,generic,Notassigned,2025-01-28
721,.lancome,generic,Notassigned,2025-01-28
722,.land,generic,BinkyMoonLLC,2025-01-28
723,.landrover,generic,JaguarLandRoverLtd,2025-01-28
724,.lanxess,generic,LANXESSCorporation,2025-01-28
725,.lasalle,generic,JonesLangLaSalleIncorporated,2025-01-28
726,.lat,generic,XYZCOMLLC,2025-01-28
727,.latino,generic,DishDBSCorporation,2025-01-28
728,.latrobe,generic,LaTrobeUniversity,2025-01-28
729,.law,generic,RegistryServicesLLC,2025-01-28
730,.lawyer,generic,DogBeachLLC,2025-01-28
733,.lds,generic,IRIDomainManagementLLC,2025-01-28
734,.lease,generic,BinkyMoonLLC,2025-01-28
735,.leclerc,generic,ACDLECAssociationdesCentresDistributeursEdouardLeclerc,2025-01-28
736,.lefrak,generic,LeFrakOrganizationInc,2025-01-28
737,.legal,generic,BinkyMoonLLC,2025-01-28
738,.lego,generic,LEGOJurisAS,2025-01-28
739,.lexus,generic,TOYOTAMOTORCORPORATION,2025-01-28
740,.lgbt,generic,IdentityDigitalLimited,2025-01-28
742,.liaison,generic,Notassigned,2025-01-28
743,.lidl,generic,SchwarzDomainsundServicesGmbHCoKG,2025-01-28
744,.life,generic,BinkyMoonLLC,2025-01-28
745,.lifeinsurance,generic,AmericanCouncilofLifeInsurers,2025-01-28
746,.lifestyle,generic,InternetNamingCo,2025-01-28
747,.lighting,generic,BinkyMoonLLC,2025-01-28
748,.like,generic,AmazonRegistryServicesInc,2025-01-28
749,.lilly,generic,EliLillyandCompany,2025-01-28
750,.limited,generic,BinkyMoonLLC,2025-01-28
751,.limo,generic,BinkyMoonLLC,2025-01-28
752,.lincoln,generic,FordMotorCompany,2025-01-28
753,.linde,generic,Notassigned,2025-01-28
754,.link,generic,NovaRegistryLtd,2025-01-28
755,.lipsy,generic,LipsyLtd,2025-01-28
756,.live,generic,DogBeachLLC,2025-01-28
757,.living,generic,InternetNamingCo,2025-01-28
758,.lixil,generic,Notassigned,2025-01-28
760,.llc,generic,IdentityDigitalLimited,2025-01-28
761,.llp,generic,IntercapRegistryInc,2025-01-28
762,.loan,generic,dotLoanLimited,2025-01-28
763,.loans,generic,BinkyMoonLLC,2025-01-28
764,.locker,generic,OrangeDomainsLLC,2025-01-28
765,.locus,generic,LocusAnalyticsLLC,2025-01-28
766,.loft,generic,Notassigned,2025-01-28
767,.lol,generic,XYZCOMLLC,2025-01-28
768,.london,generic,DotLondonDomainsLimited,2025-01-28
769,.lotte,generic,LotteHoldingsCoLtd,2025-01-28
770,.lotto,generic,IdentityDigitalLimited,2025-01-28
771,.love,generic,WaterfordLimited,2025-01-28
772,.lpl,generic,LPLHoldingsInc,2025-01-28
773,.lplfinancial,generic,LPLHoldingsInc,2025-01-28
777,.ltd,generic,BinkyMoonLLC,2025-01-28
778,.ltda,generic,InterNetXCorp,2025-01-28
780,.lundbeck,generic,HLundbeckAS,2025-01-28
781,.lupin,generic,Notassigned,2025-01-28
782,.luxe,generic,RegistryServicesLLC,2025-01-28
783,.luxury,generic,LuxuryPartnersLLC,2025-01-28
787,.macys,generic,Notassigned,2025-01-28
788,.madrid,generic,ComunidaddeMadrid,2025-01-28
789,.maif,generic,MutuelleAssuranceInstituteurFranceMAIF,2025-01-28
790,.maison,generic,BinkyMoonLLC,2025-01-28
791,.makeup,generic,XYZCOMLLC,2025-01-28
792,.man,generic,MANTruckBusSE,2025-01-28
793,.management,generic,BinkyMoonLLC,2025-01-28
794,.mango,generic,PUNTOFASL,2025-01-28
795,.map,generic,CharlestonRoadRegistryInc,2025-01-28
796,.market,generic,DogBeachLLC,2025-01-28
797,.marketing,generic,BinkyMoonLLC,2025-01-28
798,.markets,generic,DogBeachLLC,2025-01-28
799,.marriott,generic,MarriottWorldwideCorporation,2025-01-28
800,.marshalls,generic,TheTJXCompaniesInc,2025-01-28
801,.maserati,generic,Notassigned,2025-01-28
802,.mattel,generic,MattelSitesInc,2025-01-28
803,.mba,generic,BinkyMoonLLC,2025-01-28
805,.mcd,generic,Notassigned,2025-01-28
806,.mcdonalds,generic,Notassigned,2025-01-28
807,.mckinsey,generic,McKinseyHoldingsInc,2025-01-28
810,.med,generic,MedistryLLC,2025-01-28
811,.media,generic,BinkyMoonLLC,2025-01-28
812,.meet,generic,CharlestonRoadRegistryInc,2025-01-28
813,.melbourne,generic,TheCrowninrightoftheStateofVictoriarepresentedbyitsDepartmentofStateDevelopmentBusinessandInnovation,2025-01-28
814,.meme,generic,CharlestonRoadRegistryInc,2025-01-28
815,.memorial,generic,DogBeachLLC,2025-01-28
816,.men,generic,ExclusiveRegistryLimited,2025-01-28
817,.menu,generic,DotMenuRegistryLLC,2025-01-28
818,.meo,generic,Notassigned,2025-01-28
819,.merckmsd,generic,MSDRegistryHoldingsInc,2025-01-28
820,.metlife,generic,Notassigned,2025-01-28
824,.miami,generic,RegistryServicesLLC,2025-01-28
825,.microsoft,generic,MicrosoftCorporation,2025-01-28
827,.mini,generic,BayerischeMotorenWerkeAktiengesellschaft,2025-01-28
828,.mint,generic,IntuitAdministrativeServicesInc,2025-01-28
829,.mit,generic,MassachusettsInstituteofTechnology,2025-01-28
830,.mitsubishi,generic,MitsubishiCorporation,2025-01-28
833,.mlb,generic,MLBAdvancedMediaDHLLC,2025-01-28
834,.mls,generic,TheCanadianRealEstateAssociation,2025-01-28
836,.mma,generic,MMAIARD,2025-01-28
839,.mobi,generic,IdentityDigitalLimited,2025-01-28
840,.mobile,generic,DishDBSCorporation,2025-01-28
841,.mobily,generic,Notassigned,2025-01-28
842,.moda,generic,DogBeachLLC,2025-01-28
843,.moe,generic,InterlinkSystemsInnovationInstituteKK,2025-01-28
844,.moi,generic,AmazonRegistryServicesInc,2025-01-28
845,.mom,generic,XYZCOMLLC,2025-01-28
846,.monash,generic,MonashUniversity,2025-01-28
847,.money,generic,BinkyMoonLLC,2025-01-28
848,.monster,generic,XYZCOMLLC,2025-01-28
849,.montblanc,generic,Notassigned,2025-01-28
850,.mopar,generic,Notassigned,2025-01-28
851,.mormon,generic,IRIDomainManagementLLCApplicant,2025-01-28
852,.mortgage,generic,DogBeachLLC,2025-01-28
853,.moscow,generic,FoundationforAssistanceforInternetTechnologiesandInfrastructureDevelopmentFAITID,2025-01-28
854,.moto,generic,MotorolaTrademarkHoldingsLLC,2025-01-28
855,.motorcycles,generic,XYZCOMLLC,2025-01-28
856,.mov,generic,CharlestonRoadRegistryInc,2025-01-28
857,.movie,generic,BinkyMoonLLC,2025-01-28
858,.movistar,generic,Notassigned,2025-01-28
863,.msd,generic,MSDRegistryHoldingsInc,2025-01-28
865,.mtn,generic,MTNDubaiLimited,2025-01-28
866,.mtpc,generic,Notassigned,2025-01-28
867,.mtr,generic,MTRCorporationLimited,2025-01-28
870,.music,generic,DotMusicLimited,2025-01-28
871,.mutual,generic,Notassigned,2025-01-28
872,.mutuelle,generic,Notassigned,2025-01-28
879,.nab,generic,NationalAustraliaBankLimited,2025-01-28
880,.nadex,generic,Notassigned,2025-01-28
881,.nagoya,generic,GMORegistryInc,2025-01-28
883,.nationwide,generic,Notassigned,2025-01-28
884,.natura,generic,Notassigned,2025-01-28
885,.navy,generic,DogBeachLLC,2025-01-28
886,.nba,generic,NBAREGISTRYLLC,2025-01-28
889,.nec,generic,NECCorporation,2025-01-28
890,.net,generic,VeriSignGlobalRegistryServices,2025-01-28
891,.netbank,generic,COMMONWEALTHBANKOFAUSTRALIA,2025-01-28
892,.netflix,generic,NetflixInc,2025-01-28
893,.network,generic,BinkyMoonLLC,2025-01-28
894,.neustar,generic,NeuStarInc,2025-01-28
895,.new,generic,CharlestonRoadRegistryInc,2025-01-28
896,.newholland,generic,Notassigned,2025-01-28
897,.news,generic,DogBeachLLC,2025-01-28
898,.next,generic,Nextplc,2025-01-28
899,.nextdirect,generic,Nextplc,2025-01-28
900,.nexus,generic,CharlestonRoadRegistryInc,2025-01-28
902,.nfl,generic,NFLRegOpsLLC,2025-01-28
904,.ngo,generic,PublicInterestRegistry,2025-01-28
905,.nhk,generic,JapanBroadcastingCorporationNHK,2025-01-28
907,.nico,generic,DWANGOCoLtd,2025-01-28
908,.nike,generic,NIKEInc,2025-01-28
909,.nikon,generic,NIKONCORPORATION,2025-01-28
910,.ninja,generic,DogBeachLLC,2025-01-28
911,.nissan,generic,NISSANMOTORCOLTD,2025-01-28
912,.nissay,generic,NipponLifeInsuranceCompany,2025-01-28
915,.nokia,generic,NokiaCorporation,2025-01-28
916,.northwesternmutual,generic,Notassigned,2025-01-28
917,.norton,generic,SymantecCorporation,2025-01-28
918,.now,generic,AmazonRegistryServicesInc,2025-01-28
919,.nowruz,generic,EmergencyBackEndRegistryOperatorProgramICANN,2025-01-28
920,.nowtv,generic,StarbucksHKLimited,2025-01-28
923,.nra,generic,NRAHoldingsCompanyINC,2025-01-28
924,.nrw,generic,MindsMachinesGmbH,2025-01-28
925,.ntt,generic,NIPPONTELEGRAPHANDTELEPHONECORPORATION,2025-01-28
927,.nyc,generic,TheCityofNewYorkbyandthroughtheNewYorkCityDepartmentofInformationTechnologyTelecommunications,2025-01-28
929,.obi,generic,OBIGroupHoldingSECoKGaA,2025-01-28
930,.observer,generic,FegistryLLC,2025-01-28
931,.off,generic,Notassigned,2025-01-28
932,.office,generic,MicrosoftCorporation,2025-01-28
933,.okinawa,generic,BRregistryInc,2025-01-28
934,.olayan,generic,CompetrolLuxembourgSarl,2025-01-28
935,.olayangroup,generic,CompetrolLuxembourgSarl,2025-01-28
936,.oldnavy,generic,Notassigned,2025-01-28
937,.ollo,generic,DishDBSCorporation,2025-01-28
939,.omega,generic,TheSwatchGroupLtd,2025-01-28
940,.one,generic,OnecomAS,2025-01-28
941,.ong,generic,PublicInterestRegistry,2025-01-28
942,.onl,generic,iRegistryGmbH,2025-01-28
943,.online,generic,RadixTechnologiesInc,2025-01-28
944,.onyourside,generic,Notassigned,2025-01-28
945,.ooo,generic,INFIBEAMAVENUESLIMITED,2025-01-28
946,.open,generic,AmericanExpressTravelRelatedServicesCompanyInc,2025-01-28
947,.oracle,generic,OracleCorporation,2025-01-28
948,.orange,generic,OrangeBrandServicesLimited,2025-01-28
949,.org,generic,PublicInterestRegistryPIR,2025-01-28
950,.organic,generic,IdentityDigitalLimited,2025-01-28
951,.orientexpress,generic,Notassigned,2025-01-28
952,.origins,generic,TheEstéeLauderCompaniesInc,2025-01-28
953,.osaka,generic,OsakaRegistryCoLtd,2025-01-28
954,.otsuka,generic,OtsukaHoldingsCoLtd,2025-01-28
955,.ott,generic,DishDBSCorporation,2025-01-28
956,.ovh,generic,OVHSAS,2025-01-28
958,.page,generic,CharlestonRoadRegistryInc,2025-01-28
959,.pamperedchef,generic,Notassigned,2025-01-28
960,.panasonic,generic,PanasonicCorporation,2025-01-28
961,.panerai,generic,Notassigned,2025-01-28
962,.paris,generic,CityofParis,2025-01-28
963,.pars,generic,EmergencyBackEndRegistryOperatorProgramICANN,2025-01-28
964,.partners,generic,BinkyMoonLLC,2025-01-28
965,.parts,generic,BinkyMoonLLC,2025-01-28
966,.party,generic,BlueSkyRegistryLimited,2025-01-28
967,.passagens,generic,Notassigned,2025-01-28
968,.pay,generic,AmazonRegistryServicesInc,2025-01-28
969,.pccw,generic,PCCWEnterprisesLimited,2025-01-28
971,.pet,generic,IdentityDigitalLimited,2025-01-28
973,.pfizer,generic,PfizerInc,2025-01-28
976,.pharmacy,generic,NationalAssociationofBoardsofPharmacy,2025-01-28
977,.phd,generic,CharlestonRoadRegistryInc,2025-01-28
978,.philips,generic,KoninklijkePhilipsNV,2025-01-28
979,.phone,generic,DishDBSCorporation,2025-01-28
980,.photo,generic,RegistryServicesLLC,2025-01-28
981,.photography,generic,BinkyMoonLLC,2025-01-28
982,.photos,generic,BinkyMoonLLC,2025-01-28
983,.physio,generic,PhysBizPtyLtd,2025-01-28
984,.piaget,generic,Notassigned,2025-01-28
985,.pics,generic,XYZCOMLLC,2025-01-28
986,.pictet,generic,PictetEuropeSA,2025-01-28
987,.pictures,generic,BinkyMoonLLC,2025-01-28
988,.pid,generic,TopLevelSpectrumInc,2025-01-28
989,.pin,generic,AmazonRegistryServicesInc,2025-01-28
990,.ping,generic,PingRegistryProviderInc,2025-01-28
991,.pink,generic,IdentityDigitalLimited,2025-01-28
992,.pioneer,generic,PioneerCorporation,2025-01-28
993,.pizza,generic,BinkyMoonLLC,2025-01-28
996,.place,generic,BinkyMoonLLC,2025-01-28
997,.play,generic,CharlestonRoadRegistryInc,2025-01-28
998,.playstation,generic,SonyComputerEntertainmentInc,2025-01-28
999,.plumbing,generic,BinkyMoonLLC,2025-01-28
1000,.plus,generic,BinkyMoonLLC,2025-01-28
1003,.pnc,generic,PNCDomainCoLLC,2025-01-28
1004,.pohl,generic,DeutscheVermögensberatungAktiengesellschaftDVAG,2025-01-28
1005,.poker,generic,IdentityDigitalLimited,2025-01-28
1006,.politie,generic,PolitieNederland,2025-01-28
1007,.porn,generic,ICMRegistryPNLLC,2025-01-28
1010,.pramerica,generic,PrudentialFinancialInc,2025-01-28
1011,.praxi,generic,PraxiSpA,2025-01-28
1012,.press,generic,RadixTechnologiesInc,2025-01-28
1013,.prime,generic,AmazonRegistryServicesInc,2025-01-28
1015,.prod,generic,CharlestonRoadRegistryInc,2025-01-28
1016,.productions,generic,BinkyMoonLLC,2025-01-28
1017,.prof,generic,CharlestonRoadRegistryInc,2025-01-28
1018,.progressive,generic,ProgressiveCasualtyInsuranceCompany,2025-01-28
1019,.promo,generic,IdentityDigitalLimited,2025-01-28
1020,.properties,generic,BinkyMoonLLC,2025-01-28
1021,.property,generic,DigitalPropertyInfrastructureLimited,2025-01-28
1022,.protection,generic,XYZCOMLLC,2025-01-28
1023,.pru,generic,PrudentialFinancialInc,2025-01-28
1024,.prudential,generic,PrudentialFinancialInc,2025-01-28
1027,.pub,generic,DogBeachLLC,2025-01-28
1029,.pwc,generic,PricewaterhouseCoopersLLP,2025-01-28
1032,.qpon,generic,DOTQPONLLC,2025-01-28
1033,.quebec,generic,PointQuébecInc,2025-01-28
1034,.quest,generic,XYZCOMLLC,2025-01-28
1035,.qvc,generic,Notassigned,2025-01-28
1036,.racing,generic,PremierRegistryLimited,2025-01-28
1037,.radio,generic,EuropeanBroadcastingUnionEBU,2025-01-28
1038,.raid,generic,Notassigned,2025-01-28
1040,.read,generic,AmazonRegistryServicesInc,2025-01-28
1041,.realestate,generic,dotRealEstateLLC,2025-01-28
1042,.realtor,generic,RealEstateDomainsLLC,2025-01-28
1043,.realty,generic,InternetNamingCo,2025-01-28
1044,.recipes,generic,BinkyMoonLLC,2025-01-28
1045,.red,generic,IdentityDigitalLimited,2025-01-28
1046,.redstone,generic,RedstoneHauteCoutureCoLtd,2025-01-28
1047,.redumbrella,generic,TravelersTLDLLC,2025-01-28
1048,.rehab,generic,DogBeachLLC,2025-01-28
1049,.reise,generic,BinkyMoonLLC,2025-01-28
1050,.reisen,generic,BinkyMoonLLC,2025-01-28
1051,.reit,generic,NationalAssociationofRealEstateInvestmentTrustsInc,2025-01-28
1052,.reliance,generic,RelianceIndustriesLimited,2025-01-28
1053,.ren,generic,ZDNSInternationalLimited,2025-01-28
1054,.rent,generic,XYZCOMLLC,2025-01-28
1055,.rentals,generic,BinkyMoonLLC,2025-01-28
1056,.repair,generic,BinkyMoonLLC,2025-01-28
1057,.report,generic,BinkyMoonLLC,2025-01-28
1058,.republican,generic,DogBeachLLC,2025-01-28
1059,.rest,generic,Punto2012SociedadAnonimaPromotoradeInversiondeCapitalVariable,2025-01-28
1060,.restaurant,generic,BinkyMoonLLC,2025-01-28
1061,.review,generic,dotReviewLimited,2025-01-28
1062,.reviews,generic,DogBeachLLC,2025-01-28
1063,.rexroth,generic,RobertBoschGMBH,2025-01-28
1064,.rich,generic,iRegistryGmbH,2025-01-28
1065,.richardli,generic,PacificCenturyAssetManagementHKLimited,2025-01-28
1066,.ricoh,generic,RicohCompanyLtd,2025-01-28
1067,.rightathome,generic,Notassigned,2025-01-28
1068,.ril,generic,RelianceIndustriesLimited,2025-01-28
1069,.rio,generic,EmpresaMunicipaldeInformáticaSAIPLANRIO,2025-01-28
1070,.rip,generic,DogBeachLLC,2025-01-28
1071,.rmit,generic,Notassigned,2025-01-28
1073,.rocher,generic,Notassigned,2025-01-28
1074,.rocks,generic,DogBeachLLC,2025-01-28
1075,.rodeo,generic,RegistryServicesLLC,2025-01-28
1076,.rogers,generic,RogersCommunicationsCanadaInc,2025-01-28
1077,.room,generic,AmazonRegistryServicesInc,2025-01-28
1079,.rsvp,generic,CharlestonRoadRegistryInc,2025-01-28
1081,.rugby,generic,WorldRugbyStrategicDevelopmentsLimited,2025-01-28
1082,.ruhr,generic,dotSaarlandGmbH,2025-01-28
1083,.run,generic,BinkyMoonLLC,2025-01-28
1085,.rwe,generic,RWEAG,2025-01-28
1086,.ryukyu,generic,BRregistryInc,2025-01-28
1088,.saarland,generic,dotSaarlandGmbH,2025-01-28
1089,.safe,generic,AmazonRegistryServicesInc,2025-01-28
1090,.safety,generic,SafetyRegistryServicesLLC,2025-01-28
1091,.sakura,generic,SAKURAinternetInc,2025-01-28
1092,.sale,generic,DogBeachLLC,2025-01-28
1093,.salon,generic,BinkyMoonLLC,2025-01-28
1094,.samsclub,generic,WalMartStoresInc,2025-01-28
1095,.samsung,generic,SAMSUNGSDSCOLTD,2025-01-28
1096,.sandvik,generic,SandvikAB,2025-01-28
1097,.sandvikcoromant,generic,SandvikAB,2025-01-28
1098,.sanofi,generic,Sanofi,2025-01-28
1099,.sap,generic,SAPAG,2025-01-28
1100,.sapo,generic,Notassigned,2025-01-28
1101,.sarl,generic,BinkyMoonLLC,2025-01-28
1102,.sas,generic,ResearchIPLLC,2025-01-28
1103,.save,generic,AmazonRegistryServicesInc,2025-01-28
1104,.saxo,generic,SaxoBankAS,2025-01-28
1106,.sbi,generic,STATEBANKOFINDIA,2025-01-28
1107,.sbs,generic,ShortdotSA,2025-01-28
1109,.sca,generic,Notassigned,2025-01-28
1110,.scb,generic,TheSiamCommercialBankPublicCompanyLimitedSCB,2025-01-28
1111,.schaeffler,generic,SchaefflerTechnologiesAGCoKG,2025-01-28
1112,.schmidt,generic,SCHMIDTGROUPESAS,2025-01-28
1113,.scholarships,generic,ScholarshipscomLLC,2025-01-28
1114,.school,generic,BinkyMoonLLC,2025-01-28
1115,.schule,generic,BinkyMoonLLC,2025-01-28
1116,.schwarz,generic,SchwarzDomainsundServicesGmbHCoKG,2025-01-28
1117,.science,generic,dotScienceLimited,2025-01-28
1118,.scjohnson,generic,Notassigned,2025-01-28
1119,.scor,generic,Notassigned,2025-01-28
1120,.scot,generic,DotScotRegistryLimited,2025-01-28
1123,.search,generic,CharlestonRoadRegistryInc,2025-01-28
1124,.seat,generic,SEATSASociedadUnipersonal,2025-01-28
1125,.secure,generic,AmazonRegistryServicesInc,2025-01-28
1126,.security,generic,XYZCOMLLC,2025-01-28
1127,.seek,generic,SeekLimited,2025-01-28
1128,.select,generic,RegistryServicesLLC,2025-01-28
1129,.sener,generic,SenerIngenieríaySistemasSA,2025-01-28
1130,.services,generic,BinkyMoonLLC,2025-01-28
1131,.ses,generic,Notassigned,2025-01-28
1132,.seven,generic,SevenWestMediaLtd,2025-01-28
1133,.sew,generic,SEWEURODRIVEGmbHCoKG,2025-01-28
1134,.sex,generic,ICMRegistrySXLLC,2025-01-28
1135,.sexy,generic,InternetNamingCo,2025-01-28
1136,.sfr,generic,SocieteFrancaiseduRadiotelephoneSFR,2025-01-28
1139,.shangrila,generic,ShangriLaInternationalHotelManagementLimited,2025-01-28
1140,.sharp,generic,SharpCorporation,2025-01-28
1141,.shaw,generic,Notassigned,2025-01-28
1142,.shell,generic,ShellInformationTechnologyInternationalInc,2025-01-28
1143,.shia,generic,EmergencyBackEndRegistryOperatorProgramICANN,2025-01-28
1144,.shiksha,generic,IdentityDigitalLimited,2025-01-28
1145,.shoes,generic,BinkyMoonLLC,2025-01-28
1146,.shop,generic,GMORegistryInc,2025-01-28
1147,.shopping,generic,BinkyMoonLLC,2025-01-28
1148,.shouji,generic,QIHOO360TECHNOLOGYCOLTD,2025-01-28
1149,.show,generic,BinkyMoonLLC,2025-01-28
1150,.showtime,generic,Notassigned,2025-01-28
1151,.shriram,generic,Notassigned,2025-01-28
1153,.silk,generic,AmazonRegistryServicesInc,2025-01-28
1154,.sina,generic,SinaCorporation,2025-01-28
1155,.singles,generic,BinkyMoonLLC,2025-01-28
1156,.site,generic,RadixTechnologiesInc,2025-01-28
1159,.ski,generic,IdentityDigitalLimited,2025-01-28
1160,.skin,generic,XYZCOMLLC,2025-01-28
1161,.sky,generic,SkyUKLimited,2025-01-28
1162,.skype,generic,MicrosoftCorporation,2025-01-28
1164,.sling,generic,DISHTechnologiesLLC,2025-01-28
1166,.smart,generic,SmartCommunicationsIncSMART,2025-01-28
1167,.smile,generic,AmazonRegistryServicesInc,2025-01-28
1169,.sncf,generic,SociétéNationaleSNCF,2025-01-28
1171,.soccer,generic,BinkyMoonLLC,2025-01-28
1172,.social,generic,DogBeachLLC,2025-01-28
1173,.softbank,generic,SoftBankGroupCorp,2025-01-28
1174,.software,generic,DogBeachLLC,2025-01-28
1175,.sohu,generic,SohucomLimited,2025-01-28
1176,.solar,generic,BinkyMoonLLC,2025-01-28
1177,.solutions,generic,BinkyMoonLLC,2025-01-28
1178,.song,generic,AmazonRegistryServicesInc,2025-01-28
1179,.sony,generic,SonyCorporation,2025-01-28
1180,.soy,generic,CharlestonRoadRegistryInc,2025-01-28
1181,.spa,generic,AsiaSpaandWellnessPromotionCouncilLimited,2025-01-28
1182,.space,generic,RadixTechnologiesInc,2025-01-28
1183,.spiegel,generic,Notassigned,2025-01-28
1184,.sport,generic,SportAccord,2025-01-28
1185,.spot,generic,AmazonRegistryServicesInc,2025-01-28
1186,.spreadbetting,generic,Notassigned,2025-01-28
1188,.srl,generic,InterNetXCorp,2025-01-28
1189,.srt,generic,Notassigned,2025-01-28
1192,.stada,generic,STADAArzneimittelAG,2025-01-28
1193,.staples,generic,StaplesInc,2025-01-28
1194,.star,generic,StarIndiaPrivateLimited,2025-01-28
1195,.starhub,generic,Notassigned,2025-01-28
